Namespace(filename='tmp.csv')
Sun Jul  1 08:43:17 2018    tmp.csv

         318233 function calls (315963 primitive calls) in 6.239 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    34/17    0.001    0.000    0.013    0.001 sre_parse.py:429(_parse_sub)
    46/19    0.004    0.000    0.013    0.001 sre_parse.py:491(_parse)
        1    0.000    0.000    0.013    0.013 string.py:15(<module>)
      169    0.013    0.000    0.013    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.013    0.013 signals.py:1(<module>)
        1    0.000    0.000    0.013    0.013 polynomial.py:4(<module>)
        1    0.000    0.000    0.013    0.013 traceback.py:1(<module>)
        1    0.000    0.000    0.012    0.012 string.py:65(__init__)
     1687    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
        1    0.000    0.000    0.012    0.012 hashlib.py:53(<module>)
      274    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:254(cache_from_source)
        1    0.000    0.000    0.011    0.011 Image.py:27(<module>)
        1    0.000    0.000    0.011    0.011 signal.py:1(<module>)
        1    0.000    0.000    0.011    0.011 linecache.py:6(<module>)
        1    0.000    0.000    0.010    0.010 parse.py:28(<module>)
      288    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:406(cached)
      273    0.003    0.000    0.010    0.000 function_base.py:4361(add_newdoc)
      173    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:163(__enter__)
        1    0.001    0.001    0.009    0.009 numerictypes.py:82(<module>)
        1    0.002    0.002    0.009    0.009 core.py:21(<module>)
        1    0.000    0.000    0.009    0.009 pickle.py:24(<module>)
      169    0.008    0.000    0.008    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.008    0.008 tokenize.py:21(<module>)
        1    0.000    0.000    0.008    0.008 ElementTree.py:34(<module>)
      151    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:350(_get_cached)
      137    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:427(_validate_bytecode_header)
     2689    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.007    0.007 npyio.py:1(<module>)
      137    0.007    0.000    0.007    0.000 {method 'read' of '_io.FileIO' objects}
        3    0.000    0.000    0.007    0.002 enum.py:532(_convert)
      173    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
        1    0.000    0.000    0.006    0.006 __init__.py:88(<module>)
     2377    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
      214    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.006    0.006 linalg.py:10(<module>)
      346    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      233    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        3    0.000    0.000    0.006    0.002 enum.py:215(__call__)
        1    0.000    0.000    0.006    0.006 bar_indicator.py:5(<module>)
        3    0.000    0.000    0.006    0.002 enum.py:314(_create_)
        2    0.000    0.000    0.006    0.003 __init__.py:3(<module>)
        1    0.000    0.000    0.006    0.006 arrayprint.py:5(<module>)
      151    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1218(_get_spec)
      365    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1072(_path_importer_cache)
        5    0.002    0.000    0.005    0.001 enum.py:88(__new__)
        1    0.000    0.000    0.005    0.005 polynomial.py:56(<module>)
        4    0.005    0.001    0.005    0.001 threading.py:755(__init__)
